caseÂ #,charge_description,charge_status,bail_amount,bond_type,court_date,court_time,court_of_jurisdiction
19ba-cr05498,stalking_-_1st_degree_-_1st_offense,,"25,000.00",cash,01/23/2020,09:00,
19ba-cr05498-01,property_damage_1st_degree,,"50,000.00",cash,01/21/2020,13:30,
19ba-cr05499-01,stalking_-_1st_degree_-_2nd_or_subsequent_offense,,"50,000.00",cash,01/21/2020,13:30,
19ba-cr05499-01,violation_of_order_of_protection_for_adult_-_2nd_ofns,,"50,000.00",cash,01/21/2020,13:30,
13ba-cr03367-01,"prob_viol:_aggravated_stalking,_viol_order_protection",,"5,000.00",c/s,03/20/2020,09:00,d04
19ba-cr04192-01,unlawful_use_of_weapon-subsection_9-shoot_at/from_motor_veh,,.00,nobd,02/24/2020,13:30,
19ba-cr04192-01,murder_2nd_degree,,.00,nobd,02/24/2020,13:30,
19ba-cr02197,fta_-_obstructing_government_operations,,500.00,c/s,06/16/2020,13:00,
20ba-cr00279,domestic_assault_-_2nd_degree,,"50,000.00",c/s,06/25/2020,14:00,
20ba-cr01504,assault_4th_deg_-_pursuant_to_subdivision_(6)_special_victim,,.00,c/s,06/25/2020,14:00,
20ba-cr01504,burglary_1st_degree,,"10,000.00",c/s,06/25/2020,14:00,
20ba-cr01504,resisting_or_interfering_with_arrest/detention/stop,,.00,c/s,06/25/2020,14:00,
15ba-cr03225-01,fojo/_orig:_leaving_the_scene_injury_prop_damage,,"25,000.00",cash,04/28/2020,13:30,d11
on_view,driving_while_revoked/suspended,,.00,nobd,05/11/2020,13:30,
summons,f/t_signal/gave_improper_signal_when_turning_lft_or_rght,,.00,sum,,,
on_view,dwi_-_habitual,,.00,nobd,05/11/2020,13:30,
on_view,tampering_with_physical_evidence_in_felony_prosecution,,.00,nobd,05/11/2020,13:30,
on_view,resisting/interfering_with_arrest_for_a_felony,,.00,nobd,05/11/2020,13:30,
20ba-cr01756,possession_of_controlled_substance_except_35_grams_or_less_o,,"20,000.00",c/s,05/07/2020,13:30,
13ba-cr01462-01,fta:_non-support,,"10,000.00",c/s,05/11/2020,13:30,d02
19ba-cr01066,property_damage_2nd_degree,,"2,500.00",c/s,01/29/2020,13:30,d05
not_filed,burglary_-_2nd_degree,not_filed,"4,500.00",c/s,,,d09
19ba-cr01066,trespass_-_1st_degree,,"2,500.00",c/s,01/29/2020,13:30,d05
20ba-cr01424,possession_of_controlled_substance_except_35_grams_or_less_o,,.00,nobd,06/25/2020,14:00,
20ba-cr01424,unlawful_use_of_weapon_-_subsection_4_-_exhibiting,,.00,nobd,06/25/2020,14:00,
20ba-cr01424,domestic_assault-4th_degree-1st_or_2nd_offense_(2)(3)(4)(6),,.00,nobd,06/25/2020,14:00,
18ba-cr04199-01,robbery_-_1st_degree,,"40,000.00",cash,01/13/2020,13:30,d03
18ba-cr04199-01,armed_criminal_action,,"5,000.00",cash,01/13/2020,13:30,d03
18ba-cr04199-01,stealing_-_physically_take,,"5,000.00",cash,01/13/2020,13:30,d03
19ba-cr04793-01,domestic_assault_-_3rd_degree,,"70,000.00",c/s,02/03/2020,13:30,d09
19ba-cr04793-01,burglary_1st_degree,,.00,c/s,02/03/2020,13:30,d09
19ba-cr02853,"ftojo-aslt_3rd,_resisting",,"3,000.00",c/s,03/05/2020,14:00,d05
20ba-cr00011,possession_of_controlled_substance_except_35_grams_or_less_o,,"13,000.00",cash,03/05/2020,14:00,
20ba-cr00011,unlawful_possession_of_a_firearm,,"13,000.00",cash,03/05/2020,14:00,
20ba-cr00011,disarming_a_peace_officer_or_correctional_officer_while_perf,,"13,000.00",cash,03/05/2020,14:00,
20ba-cr00011,resisting_or_interfering_with_arrest/detention/stop,,"13,000.00",cash,,,
18ba-cr04144-01,robbery_-_1st_degree,,"50,000.00",cash,,,
18ba-cr04144-01,armed_criminal_action,,"50,000.00",cash,,,
20ba-cr01496,possession_of_controlled_substance_except_35_grams_or_less_o,,"5,000.00",c/s,06/25/2020,14:00,
19au-cr00407-01,ooc_warrant_-_audrain_co_-_poss_cont_subt_x2_unlawf_drug_par,,"5,000.00",c/s,,,
16au-cr00782-01,ooc_warrant_-_audrain_co_-_burglary_2nd_&_stealing,,"5,000.00",c/s,,,
19ba-cr01442,fojo_dom._aslt_4th,,"8,000.00",c/s,05/13/2020,09:00,d05
19ba-cr00600-01,assault_1st_degree_or_attempt,,"50,000.00",cash,02/03/2020,09:00,
19ba-cr00600-01,armed_criminal_action,,"25,000.00",cash,02/03/2020,09:00,
a459955733,us_marshal_hold_(jail),,.00,nobd,,,
19ba-cr00600-01,unlawful_use_of_weapon-subsection_9-shoot_at/from_mv,,"20,000.00",cash,02/03/2020,09:00,
19ba-cr00600-01,unlawful_possession_of_a_firearm,,"5,000.00",cash,02/03/2020,09:00,
30355-045,us_marshal_hold_(jail),,.00,nobd,,,
19ba-cr01761-01,damage_to_jail/jail_property,,"10,000.00",c/s,04/20/2020,09:00,
20ba-cr00174,"assault_-_4th_deg_-_pursuant_to_subdivision_(2),_(4)",,"1,000.00",c/s,06/03/2020,09:00,
19ba-cr04300,abuse_or_neglect_of_a_child_-_serious_emotional_or,,.00,c/s,03/02/2020,13:30,
19ba-cr04300,abuse_or_neglect_of_a_child_under_section_568.060.5(1),,.00,c/s,02/26/2020,13:30,
19ba-cr04300,armed_criminal_action,,.00,c/s,02/26/2020,13:30,
19ba-cr04300,endangering_the_welfare_of_a_child_creating_substantial_risk,,.00,c/s,02/26/2020,13:30,
19ba-cr04300,endangering_the_welfare_of_a_child_creating_substantial_risk,,"110,000.00",c/s,02/26/2020,13:30,
19ba-cr00316-01,fta:_tamp_mtr_veh_1st,,"10,000.00",c/s,02/18/2020,09:00,d03
19cwcr02080,ooc/callaway/fta:_no_license,,100.00,c/s,,,oth
20ba-cr00662-01,resisting/interfering_with_arrest_for_a_felony,,"3,000.00",c/s,04/27/2020,13:30,
20ba-cr00662-01,unlawful_possession_of_drug_paraphernalia,,.00,c/s,04/27/2020,13:30,
19ba-cr04494-01,fta:_burglary_1st,,"5,000.00",c/s,04/06/2020,09:00,
19ba-cr02006-01,unlawful_use_of_weapon-subsection_9-shoot_at/from_motor_veh,,"40,000.00",cash,02/18/2020,13:30,
19ba-cr02006-01,armed_criminal_action,,"20,000.00",cash,02/18/2020,13:30,
19ba-cr02006-01,assault_1st_degree_-_serious_physical_injury_spec_victim,,"40,000.00",cash,02/18/2020,13:30,
19ba-cr02007-01,unlawful_use_of_weapon-subsection_9-shoot_at/from_motor_veh,,"40,000.00",cash,01/27/2020,13:30,d01
19ba-cr02007-01,armed_criminal_action,,"20,000.00",cash,01/27/2020,13:30,d01
19ba-cr02007-01,assault_1st_degree_-_serious_physical_injury_spec_victim,,"40,000.00",cash,01/27/2020,13:30,d01
19ba-cr03676-01,delivery_of_controlled_substance_except_35_grams_or_less_of,,"20,000.00",cash,03/16/2020,09:00,d09
140406509crcsrb,us_marshal_hold_(jail),,.00,nobd,,,fed
19ba-cr03676-01,possession_of_marijuana/synthetic_cannabinoid_of_10_grams_or,,.00,cash,03/16/2020,09:00,
19ba-cr03676-01,unlawful_possession_of_drug_paraphernalia_-_prior_drug_offen,,.00,cash,03/16/2020,09:00,
19ba-cr02054-01,unlawful_use_of_weapon-subsection_9-shoot_at/from_motor_veh,,"25,000.00",cash,11/14/2019,14:00,d05
19ba-cr02054-01,assault_1st_degree_-_serious_physical_injury_spec_victim,,"50,000.00",cash,11/14/2019,14:00,d05
19ba-cr02054-01,armed_criminal_action,,"25,000.00",cash,11/14/2019,14:00,d05
19ba-cr00916-01,delivery_of_controlled_substance_except_35_grams_or_less_of,,"100,000.00",cash,10/15/2019,13:30,d01
19ba-cr00916-01,endangering_the_welfare_of_a_child_involving_drugs-_1st_degr,,"100,000.00",cash,10/15/2019,13:30,d01
17mtcr0031501,ooc_warr:moniteau,,.00,nobd,,,oth
18accr0065401,ooc_warr:cole,,"10,000.00",c/s,,,oth
702863835,ooc_warr:monroe,,500.00,c/s,,,oth
17ba-cr00498-01,"prob_viol:_tamp_w/_mtr_veh,_resisting,_leaving_scene_of_acci",,"5,000.00",cash,05/22/2020,13:30,d04
19ba-cr01908,fta:_burg_2nd/stealing,,"30,000.00",c/s,02/10/2020,13:30,d05
19ba-cr02935-01,harassment_-_1st_degree,,"5,000.00",cash,02/10/2020,13:30,
19ba-cr02935-01,property_damage_2nd_degree,,"5,000.00",cash,02/10/2020,13:30,
20ba-cr00252,"unlawful_use_of_weapon_-_subsection_3_-_discharge_into_home,",,.00,nobd,02/24/2020,13:30,
20ba-cr00252,endangering_the_welfare_of_a_child_creating_substantial_risk,,.00,nobd,02/24/2020,13:30,
20ba-cr00252,armed_criminal_action,,.00,nobd,02/24/2020,13:30,
20ba-cr00252,unlawful_use_of_weapon-subsection_9-shoot_at/from_motor_veh,,.00,nobd,02/24/2020,13:30,
not_filed,domestic_assault_-_4th_degree_-_1st_or_2nd_offense,not_filed,"1,000.00",c/s,,,
not_filed,domestic_assault_-_4th_degree_-_1st_or_2nd_offense,not_filed,"1,000.00",c/s,,,
not_filed,domestic_assault_-_3rd_degree,not_filed,"1,000.00",c/s,,,
18ba-cr01013,domestic_assault_-_3rd_degree,,"7,500.00",c/s,04/30/2018,13:30,d05
not_filed,assault_-_2nd_degree_-_special_victim,not_filed,"13,000.00",c/s,,,
18ba-cr02656,property_damage_2nd_degree,,500.00,c/s,,,d05
18ba-cr02656,assault_1st_degree_-_serious_physical_injury_spec_victim,,.00,nobd,,,d05
19ba-cr04126,resisting_arrest/detention/stop_by_fleeing_-_creating_a_subs,,"10,000.00",c/s,06/25/2020,14:00,d05
19ba-cr04126,assault_-_3rd_degree,,"10,000.00",c/s,06/25/2020,14:00,d05
19ba-cr00743-01,fojo:burg_2nd/resist,,.00,nobd,05/11/2020,13:30,d01
19ba-cr04587,burglary_-_2nd_degree,,"25,000.00",cash,06/25/2020,14:00,d11
20ba-cr01015,assault_-_3rd_degree,,"25,000.00",cash,05/28/2020,14:00,
warrant_signed,domestic_assault_-_3rd_degree,,"15,000.00",cash,05/11/2020,13:30,
20ba-cr01720,"assault_4th_deg_-_pursuant_to_subdivision_(1),_(5)",,"1,000.00",c/s,05/11/2020,13:30,d09
on_view,domestic_assault_2nd_deg,,"100,000.00",cash,05/11/2020,13:30,
warrant_signed,obstructing_government_operations,,.00,cash,05/11/2020,13:30,
19ba-cr04363-01,unlawful_use_of_weapon-subsection_9-shoot_at/from_motor_veh,,"25,000.00",cash,01/21/2020,13:30,d11
19ba-cr04363-01,assault_1st_degree_or_attempt,,"50,000.00",cash,01/21/2020,13:30,d11
19ba-cr04363-01,armed_criminal_action,,"25,000.00",cash,01/21/2020,13:30,d11
20ba-cr01746,"domestic_assault_4th_deg_-_1st_or_2nd_offense_(1),_(5)",,"1,000.00",c/s,05/20/2020,09:00,
19ba-cr02662-01,murder_2nd_degree_-_felony_murder_-_during_perpetration/atte,,"500,000.00",cash,01/14/2020,09:00,d02
19ba-cr02662-01,armed_criminal_action,,"250,000.00",cash,01/14/2020,09:00,d02
19ba-cr02662-01,assault_1st_degree_-_serious_physical_injury_spec_victim,,"250,000.00",cash,01/14/2020,09:00,d02
19ba-cr05283-01,"fta:_poss_of_cont_sub,_dlvry_of_cont_sub",,"22,000.00",c/s,05/08/2020,13:30,d02
18ba-cr04685-01,"fta:_tamp_w/_mtr_veh,_dur",,"9,000.00",c/s,06/08/2020,13:30,
19ba-cr02093,fta:_poss_of_marij,,250.00,c/s,06/02/2020,13:30,
20ba-cr01013,unlawful_use_of_weapon-subsection_9-shoot_at/from_mv,,.00,cash,06/25/2020,14:00,
20ba-cr01013,domestic_assault_1st_degree_-_1st_offense,,"100,000.00",cash,06/25/2020,14:00,
20ba-cr01654,assault_-_2nd_degree,,"100,000.00",cash,05/27/2020,09:00,
20ba-cr01654,stealing_-_firearm/explosive_weapon/ammonium_nitrate,,.00,cash,05/27/2020,09:00,
20ba-cr01654,unlawful_use_of_weapon_-_subsection_4_-_exhibiting,,.00,cash,05/27/2020,09:00,
20ba-cr01654,unlawful_possession_of_a_firearm,,.00,cash,05/27/2020,09:00,
b459667643,us_marshall_hold_-_prob_viol:_cocaine-sell,,.00,nobd,,,fed
20ba-cr01717,resisting/interfering_with_arrest_for_a_felony,,.00,c/s,,,
20ba-cr01717,possession_of_controlled_substance_except_35_grams_or_less_o,,"10,000.00",c/s,05/26/2020,13:00,
19ba-cr04353,assault_4th_deg_-_pursuant_to_subdivision_(6),,"5,000.00",c/s,10/21/2020,10:00,
18ba-cr03821-01,fojo/stealing_-_4th_or_subsequent_stealing_offense_w/in_10_y,,"10,000.00",cash,03/09/2020,13:30,
20ba-cr00682,bond_rev_-_poss_cont_sub/end_welf_child,,"4,500.00",c/s,05/28/2020,14:00,
20ba-cr01029,possession_of_controlled_substance_except_35_grams_or_less_o,,"9,000.00",c/s,05/28/2020,14:00,
20ba-cr01030,forgery,,"4,500.00",c/s,05/28/2020,13:30,
20ba-cr01749,"leaving_scene_of_accident_-_property_damage_exceeding_$1,000",,"6,000.00",c/s,05/06/2020,13:00,
20ba-cr01749,dwi_-_prior,,.00,c/s,05/26/2020,13:00,
19ba-cr05104,sexual_misconduct_involving_a_child_under_15_-_1st_ofns,,"100,000.00",cash,12/19/2019,13:30,
19ba-cr05104,child_molestation_-_1st_degree,,"100,000.00",cash,12/19/2019,13:30,d09
19ba-cr05104,endangering_the_welfare_of_a_child_creating_substantial_risk,,"200,000.00",cash,12/19/2019,13:30,d09
19ba-cr05104,endangering_the_welfare_of_a_child_creating_substantial_risk,,"100,000.00",cash,,,
17ba-cr02008-01,ftojo_-_dur/dus,,"5,000.00",cash,06/01/2020,13:30,d04
16mn-cr00059,o/c_warrant_-_monroe_co_-_fta_-_dur/dus,,"2,000.00",c/s,06/23/2020,09:00,
19ba-cr05510,stealing,,"5,000.00",c/s,04/20/2020,13:30,
19ba-cr05510,forgery,,"10,000.00",c/s,04/20/2020,13:30,
26329-31,"oos:_temple,_tx_-_bell_co_-_forgery_by_passing_(sjf)",,.00,nobd,,,
26328-31,"oos:_temple,_tx_-_bell_co_-_forgery_by_passing_(sjf)",,"25,000.00",c/s,,,
19ba-cr05604,fugitive_from_out_of_state,,.00,nobd,12/23/2019,13:30,
19ba-cr05487-01,murder_2nd_degree,,"1,000,000.00",c/s,03/02/2020,09:00,
19ba-cr05487-01,armed_criminal_action,,.00,c/s,03/02/2020,09:00,
146012,out_of_state_warr/colorado_doc,,.00,nobd,,,
19ba-cr04193,unlawful_use_of_weapon-subsection_9-shoot_at/from_motor_veh,,.00,nobd,03/05/2020,09:00,d11
19ba-cr04193,murder_2nd_degree_-_felony_murder_-_during_perpetration/atte,,.00,nobd,03/05/2020,09:00,d11
19ba-cr04193,armed_criminal_action,,.00,nobd,03/05/2020,09:00,d11
19ba-cr04445-01,domestic_assault_2nd_deg,,.00,nobd,11/14/2019,14:00,
19ba-cr04445-01,unlawful_possession_of_a_firearm,,.00,nobd,11/14/2019,14:00,
19ba-cr04445-01,armed_criminal_action,,.00,nobd,11/14/2019,14:00,
19ba-cr04445-01,unlawful_use_of_weapon-subsection_9-shoot_at/from_motor_veh,,.00,nobd,01/13/2020,13:30,d01
19ba-cr04445-01,domestic_assault_1st_degree_-_1st_offense,,.00,nobd,01/13/2020,13:30,d01
19ba-cr04445-01,assault_1st_degree_or_attempt,,.00,nobd,01/13/2020,13:30,d01
17ba-cr02870-01,p&p_hold_(jail)_probation/stealing-firearm/exp/amm_nitrate,,.00,nobd,10/23/2019,13:30,
14ba-cr04121-01,p&p_hold_(jail)_probation/rec_stolen_prop,,.00,nobd,10/07/2019,13:30,d04
19ba-cr01674-01,unlawful_possession_of_a_firearm,,"15,000.00",cash,05/11/2020,14:00,
19ba-cr01674-01,resisting/interfering_with_arrest_for_a_felony,,"10,000.00",c/s,05/11/2020,14:00,
18ba-cr02525-01,ftojo:sex_offender_1st,,"10,000.00",c/s,05/11/2020,14:00,
18ba-cr02480-01,ftojo:dv1/aca/uuw/pcs/resisting,,"10,000.00",c/s,05/11/2020,14:00,
20ba-cr00438,voluntary_manslaughter,,.00,cash,03/16/2020,09:00,
20ba-cr00438,armed_criminal_action,,.00,cash,03/16/2020,09:00,
20ba-cr00438,assault_-_2nd_degree,,"500,000.00",cash,03/16/2020,09:00,
19ba-cr04911-01,fojo:_stealing_-_all_other_property_under_570.030.5(3),,.00,nobd,04/13/2020,13:30,d02
20ba-cr00772-01,assault_1st_degree_-_serious_physical_injury_spec_victim,,.00,nobd,03/26/2020,14:00,
20ba-cr00772-01,armed_criminal_action,,.00,nobd,03/16/2020,09:00,
20ba-cr01784,abuse_or_neglect_of_a_child_-_serious_emotional_or,,"25,000.00",cash,05/26/2020,13:30,
20ba-cr01426,trespass_-_1st_degree,,.00,c/s,05/12/2020,13:00,
20ba-cr01426,stealing_-_value_less_than_$150_and_no_prior_stealing_offens,,.00,c/s,05/12/2020,13:00,
20ba-cr01426,trespass_-_1st_degree,,"2,000.00",c/s,05/12/2020,13:00,
19ba-cr04847,possession_of_child_pornography_-_2nd/subsequent_offense,,"20,000.00",c/s,05/13/2020,13:30,
19ba-cr05791,burglary_1st_degree,,"10,000.00",c/s,05/07/2020,09:00,
19ba-cr05791,burglary_-_2nd_degree,,"10,000.00",c/s,05/07/2020,09:00,
19ba-cr05791,property_damage_1st_degree,,"5,000.00",c/s,02/04/2020,09:00,
180401901crcsrb,us_marshal_hold_(jail),,.00,nobd,,,
20ba-cr01559,statutory_sodomy_-_1st_degree_-_deviate_sexual_intercourse_w,,"100,000.00",cash,06/25/2020,14:00,
1269613,parole_-_assault,,.00,nobd,,,
warrant_signed,unlawful_possession_of_a_firearm,,"30,000.00",cash,05/08/2020,13:30,
20ba-cr01646,domestic_assault_-_3rd_degree,,.00,cash,05/27/2020,09:00,d11
20ba-cr01646,domestic_assault_-_4th_degree_-_3nd_or_subsequent_offense,,.00,cash,05/27/2020,09:00,d11
20ba-cr01646,unlawful_use_of_weapon_-_subsection_4_-_exhibiting,,"25,000.00",cash,05/27/2020,09:00,d11
20ba-cr01775,assault_4th_deg_-_pursuant_to_subdivision_(3),,"1,000.00",cash,05/27/2020,09:00,
6m-19-01533-mo,unlisted_municipal_violation_(jail)/trespass,,100.00,c/s,04/17/2020,09:00,
19ba-cr05020-01,stealing_-_all_other_property_under_570.030.5(3),,"2,500.00",c/s,03/02/2020,13:30,
not_filed,fraudulent_use_of_a_credit/debit_device,,500.00,c/s,11/12/2019,13:30,
19ba-cr05020-01,stealing_-_all_other_property_under_570.030.5(3),,"2,500.00",c/s,01/06/2020,13:30,
19ba-cr03043-01,"ftf:_arson_2nd,_burglary_2nd",,.00,nobd,05/26/2020,13:30,d01
20ba-cr01425,unlawful_use_of_weapon_-_subsection_4_-_exhibiting,,.00,nobd,05/28/2020,14:00,
20ba-cr01425,domestic_assault_-_3rd_degree,,.00,nobd,05/28/2020,14:00,
18ba-cr00278,terrorist_threat_-_2nd_degree,,"50,000.00",cash,,,d05
18-3006-mj-wje,federal_bureau_prisons_(jail)_-_poss_of_firearm_silencer,,.00,nobd,,,fed
17ac-cr02903,out_of_county_warrant_(jail)_-_cole_co_-_terroristic_threat,,"1,000.00",c/s,,,oth
19ba-cr02596-01,possession_of_child_pornography_-_1st_offense,,"25,000.00",cash,02/24/2020,13:30,d09
19ba-cr02596-01,promoting_child_pornography_1st_degree,,"25,000.00",cash,02/24/2020,13:30,d09
20ba-cr01715,endangering_the_welfare_of_a_child_involving_drugs-_1st_degr,,"20,000.00",cash,05/26/2020,13:00,
20ba-cr01715,possession_of_marijuana/synthetic_cannabinoid_of_11-35_grams,,.00,cash,05/26/2020,13:00,
20ba-cr01715,unlawful_possession_of_drug_paraphernalia_-_prior_drug_offen,,.00,cash,05/26/2020,13:00,
20ba-cr01715,possession_of_controlled_substance_except_35_grams_or_less_o,,.00,cash,05/26/2020,13:00,d09
20ba-cr01037,fail_to_register_as_a_sex_offender_pursuant_to_secs_589.400-,,"10,000.00",c/s,04/07/2020,13:30,
20ba-cr01037,prior_offndr_reside_w/in_1000_ft_of_school/child_care_fac_af,,.00,c/s,06/03/2020,13:30,
20ba-cr00478-01,domestic_assault_2nd_deg,,.00,nobd,03/02/2020,09:00,
19ba-cr05241,fta_(oridanance_violation_),,250.00,c/s,05/13/2020,09:00,
19ba-cr03036,ftfjo_(domestic_4th),,"3,000.00",c/s,05/13/2020,09:00,
19cwcr02137,oocw_callaway_co_(moving_violation),,125.00,c/s,,,
20ba-cr00741,property_damage_2nd_degree,,"2,500.00",c/s,05/13/2020,09:00,
20ba-cr00042-01,domestic_assault_2nd_deg,,"25,000.00",cash,03/02/2020,09:00,
20ba-cr00042-01,endangering_the_welfare_of_a_child_creating_substantial_risk,,.00,cash,03/02/2020,09:00,
20ba-cr00042-01,domestic_assault_-_3rd_degree,,.00,cash,03/02/2020,09:00,
20ba-cr00678,fojo_dv3/robb_1st/poss_fire/aca/stealing/prop_dam,,"10,000.00",c/s,05/13/2020,09:00,d05
